concept_id	ces	deu	ita	eng	pol	rus	nob	ukr	fra	lat
n12542910	kummerowia	kummerowia lespedeza	kummerowia  lespedeza	lespedeza	kummerowia lespedeza				lespedeza	
n12543455		lespedeza striata	lespedeza striata	lespedeza striata	lespedeza striata lespedeca japonska				lespedeza striata	
n00729285	lekce	lektion	lezione	lesson		urok		urok	lecon	
v00802318	povolit dovolit	lassen		let permit	dozwolic	pozvolit pustit pozvoljat			laisser permettre	permitto permito
a00993885	smrtonosny smrtelny	todlich	mortale letale	lethal deadly	smiercionosny smiertelny	letalnyj smertonosnyj smertelnyj	dodelig		letal mortel	letalis
a00875712		inert  lethargisch	letargico inerte	lethargic	letargiczny	apatichnyi		apatichnii	lethargique	
n06828818		buchstabe	lettera	letter	litera	litera bukva	bokstav	litera bukva	lettre	littera
n06624161		brief	missiva lettera	letter missive	list epistola pismo	pismo	brev epistel	lyst	lettre missive	epistula
n06946355		lettisch	lettone	lettish latvian		latysskij	latvisk	latyska	letton	
n11986306			lattuga insalata	lettuce	salata	salat			laitue salade	lactuca
n07723559		salat	insalata	lettuce	salata	salat			laitue salade	lactuca
n11762433	ipil ipil leucaena glauca	leucana leucocephala ipil-ipil leucana glauca	leucaena glauca	leucaena leucocephala leucaena glauca	leucaena glauca				leucaena leucocephala	
n14935128	leucin	leucin	leucina	leucine	leucyna	leitsin	leucin		leucine	
n05449959	bila krvinka	leukozyt	leucocito leucocita	leucocyte  leukocyte	biala krwinka leukocyt	lejkocit	leukocytt	leikotsiti	leucocyte  leucocytes globules blancs	leucocyti
n01425223	akiba	akiba leucocytozoon	akiba leucocytozoon	leucocytozoon leucocytozoan	akiba leucocytozoon				leucocytozoon	
n14196405	agranulocytoza  leukopenie panleukopenie	agranulozytose leukopenie panleukopenie leukozytopenie	leucopenia panleucopenia agranulocitosi	leucopenia leukopenia	leukocytopenia leukopenia				leucopenie	
n00684128	leukotomie lobotomie	lobotomie	lobotomia	leucotomy lobotomy leukotomy	lobotomia leukotomia	lobotomija	lobotomi		lobotomie	
n14196221	leukocytoza	leucocytose leukozytose	leucocitosi	leukocytosis leucocytosis	leukocytoza				leucocytose	leucocytosis
n14257563	leukom stilpnotia		stilpnotia leucoma	leukoma leucoma	bielmo leukoma	lejkoma belmo			leucome stilpnotia leucoma	
n13685809	lev	lew	lev	lev	lew	lev		lev	lev	leo
n03660124	levis	levis		levis levi's	levisy				levis	
n12940226	libecek	liebstockel		levisticum officinale  lovage		ljubistok			levisticum officinale liveche	
n11408733	levitace	levitation	levitazione	levitation	lewitacja	levitacija			levitation	
n11859981	lewisia	lewisia portulacaceae	lewisia portulacaceae	lewisia	lewizja				lewisia	
n06306034	lexem	lexem	lessema	lexeme	leksem	leksema	leksem	leksema	lexeme	
n13507472	lexikalizace	lexikalisierung	lessicalizzazione	lexicalization lexicalisation					lexicalisation	
a02909808	lexikograficky	lexikografisch		lexicographical lexicographic	leksykograficzny	leksikograficeskij		leksikografichnii	lexicographique	lexicographicus
n00931721	lexikografie	lexikographie	lessicografia	lexicography	leksykografia	leksikografija	leksikografi	leksikografiia	lexicographie	lexicographia
n06178812	lexikologie	lexikologie	lessicologia	lexicology	leksykologia	leksikologija		leksikologiia	lexicologie	
n06418901	slovnik		dizionario lessico vocabolario	lexicon dictionary	wokabularz slownik	leksikon		slovnyk	dictionnaire  lexique	dictionarium
n05651068	lexika	vokabular glossar lexik	lessico	lexis		leksika			lexique vocabulaire lexis glossaire	
n02098413		lhasa-apso lhasa apso	lhassa apso lhasa apso	lhasa lhasa apso	lhasa apso		lhasa apso		lhassa lhassa apso	
n13120211	liana liana	liane	liana	liana	liana	liana		liana	liane	
n01041835		libation	libagione	libation	libacja	libacija			libation	
a01111418	stedry	generos	liberale generoso	liberal	liberalny  szczodry	scedryj		shchedrii	genereux	
n00355691	liberalisace liberalizace	liberalisierung	liberalizzazione	liberalisation liberalization	liberalizacja	liberalizacija		liberalizatsiia	liberalisation	
n06218623	liberalizmus	liberalismus	liberalismo	liberalism	liberalizm	liberalizm			liberalisme	
n10256756		liberaler liberalist	liberale	liberalist liberal		liberal			liberal	
n06219185	libertarianismus indeterminizmus	libertarismus	libertarismo	libertarianism	libertarianizm libertalizm				liberalisme libertarisme libertarianisme	
n07489548	libido	libido	libido	libido	libido	libido	libido		libido	libido
n11638902	calocedrus  austrocedrus	calocedrus  austrocedrus libocedrus	calocedrus  austrocedrus libocedrus	libocedrus	calocedrus austrocedrus libocedrus				libocedrus	
n07977592		bibliothek	libreria	library	biblioteka biblioteka programow	biblioteka		biblioteka	bibliotheque librairie	
n03661043		bibliothek	biblioteca	library		biblioteka		biblioteka	bibliotheque librairie	
n13507617	librace	libration	librazione	libration	libracja	libracija	librasjon	libratsiia	libration	
n07012025	libreto	libretto	libretto	libretto	libretto	libretto			livret	
n13994806	licence	lizenz	licenza	license licence		licenzija			licence	
n06549661	povoleni	lizenz	permesso autorizzazione licenza	license permit licence	pozwolenie licencja	dozvolenije  licenzija			licence autorisation permettre permis	
n12986447		lichenes	licheni lichenes	lichenes					lichens lichen	
n05313822	vicko	lid	palpebra	lid palpebra	powieka	veko		povika viko	paupiere	palpebra
n03662016	lignokain lokalni anestetika narkotika lidokain chloralhydrat	chloralhydrat  lokalanasthetikum lidocain lignocain narkotikum	lidocaina  lidocaina lignocaina	lidocaine xylocaine	lidokaina lignokaina				lidocaine	
n06756831	lez	luge	menzogna	lie		loz brexnja	logn	brexnja	mensonge	
v01547001	lezet	liegen		lie		lezat		lezaty	gesir	iaceo
v01985029	lezeti	liegen		lie	lezec	lezat	ligge			
v00834259	lhat	lugen		lie	klamac sklamac lgac	brexat  lgat	lyge	brexaty	mentir	mentior
n05333467	slezina	milz	splene milza	lien spleen	sledziona	selezjonka		selezinka		lien
n10259348		leutnant leutnantin		lieutenant	porucznik lejtnant	lejtenant  porucik			lieutenant	
n10260166		generalleutnant	tenente generale	lieutenant general		general-leitenant general-polkovnik	loytnant general	general-leitenant	lieutenant general	
n13961399	zivot	leben	esistenza vita	life	zycie	zitije	liv		existence vie	vita
n15110307	ligand	ligand	ligando  legante	ligand	ligand				ligand	
n06823925	ligatura	ligatur		ligature	ligatura	ligatura			ligature	
n11473954	svetlo	licht	luce visibile luce	light		svet	lys		lumiere lumiere visible	lumen lux
n03665366	svetlo	licht	lume  luce	light		svet	lys		lumiere	lumen lux
a01186408	lehky	leicht		light	lekki	ljoxkij	lett	lehkyj	leger	levis
n14563784			illuminazione	light illumination	oswiecanie iluminacja swiecenie oswietlanie	osvescenije illjuminacija			leger	
n05018103			luminosita	light luminance luminosity	luminancja luminacja jasnosc	jarkost			luminosite leger luminance	
n03667664	fotometr	lichtmesser photometer	esposimetro	light meter photometer		fotometr		fotometr	luxmetre photometre posemetre	
n14935319	lignin	lignin	lignina	lignin	lignina				lignine	
n14815263	lignit	braunkohle	lignite	lignite	lignit	lignit	brunkol brunkull		lignite	lignitus
n12307611		ligustrum liguster	ligustro  ligustrum	ligustrum genus ligustrum	ligustr ligustrum				ligustrum	
n12423565	liliovite	liliaceae	liliaceae	liliaceae	liliowate				liliaceae liliacees	
n12426100	lilie	lilium  lilie lilien	lilium  giglio	lilium	lilia	lilija			lilium	
a01392249	drobny malinky malicky	diminutiv		lilliputian diminutive	malenki miniaturowy drobny lilipuci	miniatjurnyj	orliten		diminutif lilliputien	
n12426248	lilie	lilie	giglio	lily	lilia liliowy	lilija	lilje	liliia		lilium
n05630874		limbus	limbo	limbo	limbo limbus	limb				
n07749731	limeta	limone limette		lime	limeta lima limona limonka limetka	lajma  lajm				
n12711984		limone limette	tiglio limetta	lime	limeta limona limonka limetka				tilleul	
n08592656	hranice demarkacni cara	demarkation demarkationslinie grenze	limite demarcazione	limit demarcation line demarcation	granica demarkacja		grense		limite	demarcatio
a02756025		limnologisch	limnologica limnologico	limnological	limnologiczny				limnologique	
n06120317	limnologie	limnologie	limnologia	limnology	limnologia	limnologiia	limnologi	limnologiia	limnologie	
n14937801	limonit	limonit	limonite	limonite	limonit				limonite	
n03670208	limuzina	limousine	limousine	limousine	limuzyna	limuzin			limousine limousin	
n12486254		linaceae	linaceae	linaceae	linaceae				linacees linaceae	
n14934864	gama-hch lindan gama-bhc	gamma-bhc lindan gamma-hch	gamma-bhc lindano gamma-hch	lindane	lindan				lindane	
n00532567	lindy hop	lindy hop	lindy hop	lindy hop			lindy hop		lindy hop	
n08593924		linie	linea	line		linija			lignee ligne	
n03671668	propaganda reklama	publizitat propaganda reklame		line	linia	linija	propaganda publisitet		ligne	
n08594286			linea	line	linia	linija			lignee ligne	
n06013126	linearni algebra	lineare algebra	algebra lineare	linear algebra	algebra liniowa	linejnaja algebra	lineaer algebra		algebre lineaire	
n05063218	linearita	linearitat		linearity	linearnosc				linearite linearite	
n05301072	jazyk	zunge	lingua	lingua tongue	jezyk	jazyk	tunge	jazyk	langue	lingua
n10264437	lingvista jazykovedec	linguist linguistin	linguista	linguist	lingwista	lingvist jazykoved			linguiste	
n10264219	polyglot	polyglotter polyglotte		linguist polyglot	poliglota	poliglot			linguiste polyglotte	
n06172789	lingvistika	linguistik	linguistica	linguistics	lingwistyka	lingvistika			linguistique	linguistica
n14938389	linoleum	linoleum	linoleum	lino linoleum	linoleum	linoleum		linoleum	linoleum	
n03675235	linotyp	linotype	linotype	linotype	linotyp	linotip linotipnyi		linotip	linotype	
n12486397		linum lein	linum	linum genus linum	len linum	ljon			lin lins	
n02129165	lev	lowe leu	leone panthera leo	lion  panthera leo	lew	lev car zverej	love	car zviriv lev	lion  panthera leo	leo
n02129463	lvice		leonessa	lioness	lwica	lvica	lovinne	levycja	lionne	leaena
n05413873		trijodthyronin	triiodotironina	liothyronine triiodothyronine	trojodotyronina trijodotyronina				triiodothyronine	
n05305806		lefze lippe	labbro  labbra	lip		guba	leppe	huba	levre	labium labrum
n14938687	lipaza tributyraza triglyceridlipaza	tributyrase triglyceridlipase lipase	lipasi	lipase	lipaza				lipase	
n14938907	lipid	lipid	lipoide lipide	lipide lipid lipoid	lipid lipide lipoid				lipide	
n07014187		lipogramm	lipogramma	lipogram	lipogram				lipogramme	
n14239322	lipom	lipom	lipoma	lipoma					lipome	lipoma
a00492477	lipofilni	lipophil	lipofilo	lipophilic	lipofilowy				lipophile	
n14939230	lipoprotein	lipoprotein	lipoproteina	lipoprotein	lipoproteina				lipoproteines lipoproteine	
n02380052	lipican	lipizzaner	lipizzano	lippizaner  lippizan lipizzan			lippizzaner		lipizzan	
n07907943	liker	likor	liquore cordiale	liqueur  cordial	likier	likjor	likor	liker	liqueur  cordial	
n14480420			liquidita	liquid state liquidness liquidity liquid					liquide liquidite	
n07607361	lekorice	lakritze	liquirizia	liquorice licorice		lakrica			reglisse	
n13686376	lira	lira	lira lira italiana	lira	lir	lira			lire italienne	
n06481320		liste	lista	list listing	spis lista	spisok			liste	
n01367083	listerie	listerien listeria	listeria	listeria	listeria		listeria	listeria	listeria	
n14137066	listerioza	listeriose	listeriosi	listeriosis	listerioza listereloza				listeriose	
n06932734		thailand siam	tailandia thailandia siam	lisu	syjam tajlandia	tailand	thailand siam	tayiland	lisu thailande siam tailande	thailandia
n13701615		litas	litas	litas	lit	lit		lyt	litas	
n07766173	lici	litschi	litchi	litchi lichi lychee litchee leechee	liczi	lici			litchi letchi	
n12744387	nephelium litchi	litchi chinensis nephelium litchi	litchi chinensis nephelium litchi	litchi litchi chinensis nephelium litchi	liczi liczi chinskie				litchi chinensis nephelium litchi	
n13624190	litr	liter	litro  l	liter  litre l	litr  l	litr	liter	litr	litre	
a02830501	literarni	literarisch		literary	literacki	literaturnyj	litteraer		litteraire	
n08387603	literati	literat literatin		literati		literator			litterateur	
n06169488	literatura	literatur	letteratura	literature		literatura		literatura	litterature	litterae
n14115914		lithiasis	litiasi	lithiasis		kal'kulioz		kal'kul'oz	lithiase	lithiasis
n14643793	lithium	lithium	litio	lithium li	lit li	litij	litium		lithium li	lithium
n12265266		lithocarpus	lithocarpus	lithocarpus genus lithocarpus					lithocarpes lithocarpus	
n10266486	litograf	lithograf lithografin	litografo	lithographer	litograf	litograf		litograf		
a03081681	litograficky	lithographisch		lithographic	litograficzny	litograficheskii litografskii		litografs'kii	lithographique	
n06680002	litografie	lithographie	litografia	lithography	litografia	litografija			lithographie	
n06121375	petrologie litologie	petrografie  petrologie lithologie	petrologia litologia	lithology petrology	petrologia litologia petrografia	petrologiia		petrologiia	petrologie	
n12820434		lithospermum	lithospermum	lithospermum genus lithospermum	lithospermum				lithospermum	
n09339810	litosfera	lithosphare	litosfera	lithosphere geosphere	litosfera	litosfera	litosfaere		lithosphere	
n01186810	proces	prozess prozess	litigio lite	litigation	proces	tiazhba tjazba		tiazhba	litige	
n14941407	lakmus	lackmus	tornasole	litmus	lakmus	lakmus			tournesol	lacmus
n07104292	litotes	litotes	litote	litotes  meiosis	litotes  litota	litota			litote meiose	
a01391351	maly	lutzel lutt	piccolo	little	maly	malenkij malyj	liten	malenkyj malyj	petit	
a02994312	liturgicky	liturgisch		liturgical	liturgiczny	liturgiceskij	liturgisk		liturgique	liturgicus liturgicalis
n01033184	liturgie	liturgie	liturgia	liturgy		liturgija			liturgie	liturgia
v02614387	zit	leben		live		zit		zyty	vivre	vivo
n03679174	livrej	livree	livrea	livery	liberia	livreja		livreja		
n01674464	jesterka		lucertola	lizard	jaszczurka	jascerka		jascirka	lezard	lacerta
n02437616	lama	lama	lama	llama	lama	lama	llama		lama llama	
n13641299	lumen		lumen	lm lumen	lm lumen	ljumen			lm lumen	
a02172851		lobular	lobato lobulato lobulare	lobate lobed					lobe lobulaire lobuleux	
n08375526		lobby	lobby gruppo di pressione	lobby	lobby	lobbi	lobby		groupe de pression	
n02715513		lobby vestibul foyer	anticamera vestibolo hall foyer	lobby antechamber vestibule hall foyer	hall hol	xoll vestibjul foje			antichambre hall vestibule	
n10268629	lobbista	lobbyist	lobbysta lobbista	lobbyist	lobbysta lobbista				lobbyiste	
n12168565	lobelka	lobelie	lobelia	lobelia	lobelia	lobelija			lobelia lobelies	
n12168126	lobeliaceae	campanulaceae lobeliaceae	campanulaceae lobeliaceae	lobeliaceae	campanulaceae lobeliaceae				lobeliacees  lobeliaceae	
n06332919	lokativ	lokativ	locativo caso locativo	locative					locatif	casus localis locativus
n00202620				lockout	lokaut	lokaut	lockout	lokaut	lockout	
n03684823	lokomotiva	lokomotive lok	locomotiva	locomotive	lokomotywa parowoz	lokomotiv parovoz	lokomotiv lokk	lokomotyv	locomotive	
a02994448	lokomocni	lokomotorisch		locomotor locomotive	lokomocyjny	lokomotornyi		lokomotornii	locomotive	
n08677628		platz	luogo piazza	locus  locale	plac lokal		plass		lieu place locales	locus
n02226970	sarance		locusta	locust	szarancza	sarancuk saranca		sarana	locuste	
n02227119		locusta lucusta	locusta	locusta	locusta				locusta	
n14942631		loss	loess  loss	loess	less	ljoss	loss	les	l_ss	
v02249147		einloggen	registrarsi login	log on log in log-in		vkhod v sistemu registracija		reiestratsiia		
n12655062		rubus loganobaccus	rubus loganobaccus	loganberry rubus ursinus loganobaccus rubus loganobaccus	rubus loganobaccus	loganberi			rubus loganobaccus	
n12485122	strychnaceae	loganiaceae  strychnaceae	loganiaceae  strychnaceae	loganiaceae	loganiowate				loganiaceae	
n06812631	logaritmus	logarithmus	logaritmo	logarithm log	cologarytm kologarytm logarytm log	logarifm	logaritme	logarifm	logarithme log	logarithmus
a02994617	logaritmicky	logarithmisch		logarithmic	logarytmiczny	logarifmicheskii		logarifmichnii	logarithmique	
n03687137	lodzie	loggia	loggia	loggia	loggia	lodzija	loggia	lodzhiia	loggia	
n06163751	logika	logik	logica	logic	logistyka logika	logika			logique	
n05871618	logika	logik		logic		logika	logikk		logique	
a01430111	logicky			logical	logiczny	logicnyj	logisk		logique	
n10269785	logik	logiker	logico	logician logistician	logik	logik			logicienne logicien	
a02986218	logisticky	logistik logistisch		logistic logistical	logistyka logistyczny	logisticheskii		logistichnii	logistique	
n01060745	logistika	logistik	logistica	logistics	logistyka logika	logistika	logistikk	logistika	logistique	
n06840890	logogram	logogramm	logogramma	logogram logograph	logograf logogram	logogramma logograf	logogram	logograma	logogramme logographe	
n07272084	logo	logotyp  logo	logotipo logo	logotype logo	logotyp  logo	logotip	logo	logotip	logotype logo	logotypus
n02463403		lende	lombo	loin  lumbus	ledzwie				lombes	
n09703344	lombard  lombardstina	langobarde langobardin	lombardo longobardo	lombard  langobard	lombardzki	langobard	lombardisk		lombard	
n09704630	londynan	londonerin londoner	londinese	londoner		londonec londonka	londoner		londonais londonaise londonien londonienne	
a01433493	dlouhy	lang	lungo	long	dlugi		lang	dovhyj	long	longus
a01437963	dlouhy	lang		long		dolgij	lang	dovhyj	long	
n03688832	zrcatko zrcadlo	spiegel looking glass speigel	specchio	looking glass		zerkalo	speil			speculum
n11849017		lophophora	lophophora	lophophora	lophophora	lofofora		lofofora	lophophora	
n10272171		lordkanzler	gran cancelliere lord cancelliere	lord chancellor	lord kanclerz				lord chancelier	
n14505215		chondrodystrophie osteofibrose chondrodysplasie lordose	lordosi	lordosis	lordoza				lordose	
n03690168	lornon	lorgnon lorgnette	lorguette	lorgnette	lornion lorgnon	lornet			lorgnon lorgnette	
n02498355				lorisidae	lorisowate lorisy				loridae lorisides lorides lorisidae	
n08460769	menses menstruace		losing streak mestruazioni	losing streak	menstruacja	menstruacija	mens menstruasjon mensen	menstruatsiia		menstruatio
n00508091	loterie	lotterie	lotteria	lottery	loteria	lotereja			loterie	
n11717399	lotos	lotus lotos	loto	lotus nelumbo nucifera	lotus lotos	lotos			lotus nelumbo nucifera	lotus
n09743383	louisiana	louisiana	louisiana	louisianian louisianan	luizjana	luiziana	louisiana	luyiziana	louisiane louisiana	
n02183857	ves	laus	pidocchio	louse	wesz	voska vos		vosa	pou	pediculus
n09849598		liebe lieber schatz liebes	amato amore	love			skatt		amour	amator
n02504458		loxodonta africana	loxodonta africana elefante africano	loxodonta africana african elephant	loxodonta africana		afrikansk elefant		loxodonta africana elephant d'afrique	
n08632678			lossodromia lossodromica	loxodrome	loksodroma	loksodromija loksodroma			loxodromie	
a00961392	loajalni verny	loyal		loyal	lojalny	vernyj lojalnyj			loyal	
a01740207		patriotisch		loyal patriotic	patriotyczny	patrioticeskij	lojal patriotisk	patriotichnii	loyal patriotique	
n10275395	loajalista	gote royalist loyalist	lealista	loyalist	lojalista	got			loyaliste	
n03699396	lsd	lsd		lsd lysergic acid diethylamide	lsd	lsd	lsd		lsd acide lysergique diethylamide	
n14757011	luciferin	luciferine		luciferin	lucyferyna				oxyluciferine luciferine	
n11418460	stesti	gluck	fortuna	luck fortune		scastje fortuna			fortune	fortuna
n12166793	luffa cylindrica	luffa agyptica luffa cylindrica	luffa cylindrica luffa aegyptica	luffa cylindrica					luffa cylindrica luffa aegyptica	
n08195229	luftwaffe	luftwaffe	luftwaffe	luftwaffe	luftwaffe	liuftvaffe		liuftvaffe	luftwaffe	
n02774630				luggage baggage	bagaz	bagaz	bagasje	bahaz	bagage	
n03696445		logger lugger		lugger	lugier luger				lougre	
n14328290		lumbalgie lumbago hexenschuss	lombaggine lombalgia	lumbago	lumbago  heksenszus	ljumbago	lumbago  hekseskudd		lumbago	lumbago
n04256152		phenobarbital	fenobarbital	luminal phenobarbitone phenobarbital	tiopental luminal fenobarbital				phenobarbital thiopental	
a00272410	luminescencni	fotogen photogen	fotogenico luminescente	luminescent	luminescencyjny	fotogenichen fotogenicnyj		fotogenichnii	photogenique luminescent	
a02757316	lunarni	lunar		lunar		lunnyj			lunaire	lunaris
n15207872			lunazione luna	lunation moon	lunacja	lunacija			lune lunaison mois	
n02048242			lunda	lunda	lunda	lunda	lunda	lunda	lunda	
n03697913	banglades	bangladesh bangladesch	bangladesh	lungyi  lungi longyi	bangladesz	bangladesh	bangladesh	bangladesh	lungi	
n06998392		kenia	kenya kenia luo	luo	kenia luo	luo	kenya  luo	luo		
n12546183		lupine	lupino	lupine lupin		liupin	lupin	liupin	lupins lupin	lupinus
n12546015		lupinus lupine	lupinus	lupinus					lupinus lupin	lupinus
n12546420	lupina bila  lupinus termis	lupinus albus agyptische lupine lupinus termis	lupino bianco lupinus albus	lupinus albus egyptian lupine	lupinus albus lupinus termis				lupinus albus	
n01560105		nachtigall	usignolo rosignolo luscinia megarhynchos rusignolo	luscinia megarhynchos nightingale	slowik	solovej		solovej	rossignol luscinia megarhynchos	luscinia
n04954683	lesk	glanz	lustro	lustre luster	glans glanc	blesk			lustrer lustre	
n10277638			liutista	lutanist lutenist lutist	lutnista				luthiste	
n03698360	loutna	laute	liuto	lute	lutnia	ljutnja		ljutnja	luth	
n14644063	lutecium	lutetium cassiopeium	cassiopeo lutezio cassiopeio	lutecium lutetium lu	lutet lu	ljutecij	lutetium	liutetsii	lu lutecium	lutetium
n14749272	luteotropin luteinizacni hormon lutropin luteotropni hormon	lh  luteotropin luteotropes hormon lutropin	lh  luteotropina ormone luteinizzante ormone luteotropico lutropina	luteinizing hormone icsh lh	lutropina lh hormon luteinizujacy				hormone luteinisante icsh lh	
n14749543		prolaktin	prolattina	luteotropin prolactin	laktotropina prolaktyna				prolactine	
a02955358	luteransky	lutherisch		lutheran		ljuteranskij		ljuteranskyj	lutherien	
n10277815	luteran	luteranerin luteraner	luterano	lutheran	luteranin	ljuteranin ljuteranka			lutherien	
n06230208	luteranstvi	luthertum	luteranesimo luteranismo	lutheranism	luterstwo luteranizm	liuteranstvo		liuteranstvo	lutherianisme lutheranisme	
n09721244		luxemburger lutzelburger luxemburgerin	lussemburghese	luxembourger  luxemburger	luksemburczyk	ljuksemburzec ljuksemburzenka	luxembourger  luxemburger		luxembourgeois luxembourgeoise	
a02960832	lucemburstina	luxemburgisch	lussemburghese	luxembourgian	luksemburski	ljuksemburgskij			luxembourgeois luxembourgeoise	
n06994089	luhja	luhya	luyia	luyia	luhya		luhya		luhya	
n13640716	lux	lux	lux	lx lux	luks lx	ljuks	lux	liuks	lux	
n05201183	lykantropie	lykanthropie	licantropia	lycanthropy	likantropia lykantropia				lycanthropie	
n08284481	stredni skola lyceum gymnazium		liceo	lycee lyceum gymnasium		srednjaja skola		litsei	lycee	
n06976087	lykijske	lykisch	lyci	lycian	likijskie	likijskij	lykisk	likiis'kii	lycien	
n12904720		lycium	lycium	lycium genus lycium	lycium				lycium	
n14721342	lykopen	lycopen lycopin	licopene	lycopene	likopen				lycopene	
n12905655	lycopersicum	lycopersicon lycopersicum	lycopersicon lycopersicum	lycopersicon genus lycopersicon genus lycopersicum lycopersicum	lycopersicon lycopersicum				lycopersicon lycopersicum	
n13222227	lycopodiales psilotales equisetales filicales	lycopodiales psilotales pteridophyta equisetales filicales	lycopodiales psilotales pteridophyta equisetales filicales	lycopodiales					lycopodiales	
n06976244	lydske	lydisch	lidio lydi	lydian	lidyjski lidyjskie	lidijskij	lydisk	lidiis'kii	lydien	
n02285909	porthetria	porthetria lymantria	porthetria lymantria	lymantria	porthetria lymantria				lymantria	
n05404074		lymphe	linfa	lymph	limfa	limfa	lymfe	limfa	lymphe	lympha
n05451384	lymfocyt	lymphozyt	linfocito linfocita	lymph cell lymphocyte	limfocyt	limfocit	lymfocytt	limfotsit	lymphocyte lymphocytes	lymphocytus
a02831031	lymfaticky	lymphisch lymphatisch		lymphatic	limfatyczny	limfaticheskii		limfatichnii	lymphatique	
n14241968	lymfom	lymphom	linfoma	lymphoma		limfoma		limfoma	lymphome	
v02484397	lyncovat lyneovat	lynchen		lynch		lincevat			lyncher	
n13484937	lyofilizace	lyophilisation lyophilisierung	liofilizzazione	lyophilisation lyophilization	liofilizacja				lyophilisation	
n03699280	lyra	leier lyra	lira	lyre	lira	lira	lyre lyren		lyre	lyra
n11762706		lysiloma	lysiloma	lysiloma genus lysiloma	lysiloma				lysiloma	
n14944182	lysin	lysin	lisina	lysine	lizyna	lizin		lizin	lysine l-lysine	lysina
n05434203	lyzozom	lysosom  lyzozym	lisosoma	lysosome	lizosom	lizosoma			lysosome lysosomes	
n01340785		lyssavirus	lyssavirus	lyssavirus	lyssawirus lyssavirus				lyssavirus	
n13750844	ti ty	dir  sie du	mille m	m thousand thou chiliad yard g	tauzen		du  deg	ti	mille tu thou chiliade	tu tu
n05890963		m-theorie	m-teoria	m-theory	m-teoria		m-teori		theorie m	
n13637613	miliamper	milliampere	ma milliampere	ma milliampere	ma miliamper	milliamper		miliamper	ma milliampere	
n02487217	paviani macaca makakove	macaca pavian makak	macachi macaca	macaca	makak	makaka			macaca	
n12221191		macadamianuss	macadamia	macadamia macadamia tree	makadamia	makadamija			macadamia	
n02487347	makak	makake makak	macaco macacco	macaque	makak	makaka			macaque	
n07700964	makarony	makkaroni	maccheroni	macaroni		makarony		makarony	macaroni	
a02758328		makkaronisch		macaronic	makaroniczny makaronizm	makaronicheskii		makaronichnii	macaronique	
n07636534	makronka	makrone		macaroon	makaronik		makron		macaron	
n06945473	makedonstina	mazedonisch	macedone	macedonian		makedonskij		makedonska	macedonien	
n09721444	makedonec	mazedonier mazedonierin	macedone	macedonian	macedonczyk	makedonka makedonec			macedonien	
a03082253	makedonsky	mazedonisch		macedonian	macedonski	makedonskij		makedonskyj	macedonien	
n03699591	maceta	machete	machete	machete  matchet	maczeta	macete			machette	
n06214164	machiavellismus	machiavellismus	machiavellismo	machiavellianism	machiawelizm				machiavelisme	
n05908520	uklady intrika machinace	intrige	macchinazione  macchinamento intrigo	machination intrigue	machinacja  intryga	intriga	intrige intrigering	intrigi	intriguer machination intrigue	machinatio machina
n03699975		maschine	macchina	machine	maszyna	masina	maskin		machine	
n02958343	automobil  auto masina	automobil  auto wagen	auto macchina automobile vettura	machine auto automobile	automobil  autko	avto avtomasina avtomobil masina	vogn bil	masyna  avto avtomobil avtomasyna	voiture auto automobile	
n03701640			macchinario	machinery	maszyneria		maskineri		machinerie machine	
n10279018		maschinist	macchinista	machinist mechanic		masinist mexanik			mecanicien machiniste	
n04667180	sovinizmus	maschismo  machismo		machismo		machizm	sjavinisme		machisme	masculismus
n07781319	makrela	makrele	sgombro	mackerel	skumbria	makrel skumbrija		skumbrija	maquereau	scomber
n06586886	makro	makro	macro  macroistruzione	macro  macro instruction	makro	makros			macro	
n06042312	makrobiotika	makrobiotik	macrobiotica	macrobiotics	makrobiotyka				macrobiotisme	
a02758500	makroekonomicky	makrookonomisch	macroeconomico	macroeconomic	makroekonomiczny				macroeconomique	
n06150933	makroekonomie makroekonomika	makrookonomie	macroeconomia	macroeconomics	makroekonomia	makroekonomika	makrookonomi	makroekonomika	macroeconomie	macrooeconomia
n14944888	makromolekula	makromolekul	macromolecola	macromolecule supermolecule	makromolekula	makromolekula	makromolekyl	makromolekula	macromolecule	
n06823440		makron macron	macron	macron	makron	makron	makron		macron  macron _	macron
n05450740	makrofag	makrophage	macrofago	macrophage	makrofag	makrofag makrofagotsit		makrofagi	macrophage	
n01877407	megaleia  macropus	kanguruh wallaby macropus megaleia	megaleia  canguri macropus	macropus	kangur walabie macropus megaleia				macropus	
a02516316	makroskopicky	makroskopisch		macroscopic  macroscopical	makroskopowy	makroskopicheskii		makroskopichnii	macroscopique	
n11603835	ceratozamia makrozamie macrozamia encephalartos	ceratozamia macrozamia encephalartos zamiaceae	ceratozamia macrozamia encephalartos zamiaceae	macrozamia	ceratozamia macrozamia encephalartos zamiaceae				macrozamia	
n09989290	dama	dame	dama	madam ma'am dame lady		dama ledi			dame madame	domina
n08283180		madrasa	madrasa	madrasa  madrasah	madrasa  medresa	medrese			medrese medersa medersa	
n12230540		arbutus menziesii madrona	arbutus menziesii	madrono arbutus menziesii  madrona	arbutus menziesii				arbutus menziesii	
n06984247	mafa	mafa	mafa	mafa	mafa	mafa	mafa	mafa	mafa	
